GROUP_CLEAN,TEXT_ORI,,,
传真问题,传真发不出去：运行传真测试挂了，回电过去不通 time stamp :12/29/2014 08:51:01 cindy.luo 回电，不通 time stamp :12/29/2014 16:43:45 cindy.luo 回电 用户说暂时没有问题 time stamp :12/30/2014 09:23:52 emily.zhang 回电，800测试传真，可以正常接收，关闭传真错误报告，问题解决 time stamp :12/31/2014 11:01:47 yuanyuan.chen,,,
传真问题,说要关闭错误报告，关闭正常。 time stamp :12/30/2014 16:48:29 dick.lu,,,
扫描问题,无法扫描，复印正常，改图标状态，使用扫描到，画图无效，重装驱动无效，更换电脑，其他电脑正常，解释系统的原因 time stamp :12/30/2014 13:25:39 jim.li,,,
驱动问题,用户来电询问扫描 没有安装全功能驱动 带用户安装 安装失败 卸载驱动 删除oem 重新安装 安装完成 带用户扫描 正常 time stamp :12/30/2014 17:26:57 harry.zhu,,,
传真问题,错误队列 传真问题。运行测试通过，待用户主线连线，可以，发送不能发外地，建议自行测试 time stamp :12/29/2014 13:48:09 autumn.qiu 回电：可以使用 time stamp :12/30/2014 11:18:51 autumn.qiu,,,
传真问题,用户来电经销商王先生03962911315，机器不在身边。 致电直接用户，回电不通 回电，负责这一块的人不在，机器也锁在屋里，还是希望有人上门操作。 回电经销商，表示会在节后上门调试，不需要800技术支持了。 time stamp :12/30/2014 11:08:12 troven.mao,,,
无法打印,打印机屏幕不亮，建议联系维修中心 time stamp :12/30/2014 12:02:17 tom.cao,,,
不能传真,1064关闭错误报告，恢复默认值,,,
传真问题,用户手动接受传真，连线失败，告知正确的连线情况，用户线改下线路，恢复默认值纠错降速，预约回电确认问题 再次来电：不能手动接收传真，更固件，发连接 回电：更新不了固件，用户现在重装驱动，在更新固件 time stamp :12/30/2014 10:52:39 elma.sun 回电：能正常传真 time stamp :12/30/2014 11:41:14 elma.sun,,,
驱动安装,用户表示驱动安装不上 带用户安装 用户有事 预约回电 回电带用户安装驱动 time stamp :12/29/2014 11:06:29 rena.ren 回电 依然无法安装 查看端口没有打印端口 其他设备无法更新 更换电脑尝试 time stamp :12/29/2014 14:38:02 rena.ren 回电 换电脑后问题解决 time stamp :12/30/2014 12:24:17 rena.ren,,,
驱动安装,1064想要共享扫描，告知只能打印不能共享扫描，建议可以网络连接，用户自己会安装表示不用回电，有问题在来电 time stamp :12/30/2014 08:55:40 cathy.huo,,,
传真问题,1157:传真不行，运行传真测试，恢复默认值，纠错降速，测试ok time stamp :12/30/2014 16:03:45 cindy.gu,,,
不能打印,不能打印 复印正常 添加打印机 找不到驱动 用户重新下载 发送技术文档 time stamp :12/29/2014 17:57:37 monica.yu 回电 开会 time stamp :12/30/2014 11:01:07 monica.yu 回电 还没操做 不知道什么时候操作好 操作的时候有问题来电 time stamp :12/30/2014 15:07:16 monica.yu 再次来电表示：驱动安装好了不能打印，网线也试过也不能打印，添加打印机也不能打印，换电脑也不行，建议送修 time stamp :12/31/2014 15:58:42 cheryl.yang,,,
不能打印,不能打印，扫描正常，提示缺少模块，光盘打不开，建议安装3.5驱动 time stamp :12/29/2014 15:37:47 autumn.qiu 回电：不同 time stamp :12/29/2014 17:45:57 autumn.qiu 再次来电安装了3.5也不行，换电脑装一下 time stamp :12/30/2014 09:09:29 mengna.xu 回电：解决 time stamp :12/30/2014 13:40:16 mengna.xu,,,
扫描问题,1163：不能扫描 传真和扫描 照相机向导 不行 网络的方式 重启服务不行 重装驱动 尝试 time stamp :12/26/2014 11:30:37 dragon.zhang 回电 通话中 time stamp :12/29/2014 09:42:15 dragon.zhang 回电 通话中 time stamp :12/29/2014 15:19:22 dragon.zhang 回电 通话中 time stamp :12/30/2014 10:08:31 dragon.zhang,,,
驱动问题,用户表示：驱动安装不上，带用户卸载oem，重新装也安装不上，添加打印机提示找不到打印机，建议换电脑没有电脑换，建议送修 time stamp :12/30/2014 10:38:58 cheryl.yang,,,
传真问题,用户传真不行，复印正常，连线正常，恢复默认值，纠错降速，与800测试用户电话不响，用户自行测试成功。驱动安装不上，建议卸载吧数据线先不接在试试 回电过去正在童话 用户来电传真无法接收 本地传真发送是空号 发送传真无法接收 用户换电话线路后 运行传真测试 传真三步 与800测试电话没有反应 查看固件版本 用户还没有装驱动 无法更固件 用户今天刚买的新机 联系经销商 time stamp :12/30/2014 12:12:39 rena.ren,,,
打印问题,回电用户表示还是无法打印，不是原装的之前建议使用原装的，不行送修检测 time stamp :12/30/2014 09:29:24 tonny.yan,,,
传真问题,无法发送传真，运行传真测试，通过，回电手机 回电恢复默认值，纠错降速，能正常发送 time stamp :12/30/2014 13:09:50 cherry.cheng,,,
